발주청,공사명,공사구분,주요사업지,사업개요,노선명,공사위치,시공사,현장주소,시작일,준공일,도급액(원)
대전지방국토관리청,고남~창기(제1공구) 도로건설공사,도로,충청남도 태안군 고남면 ~  충청남도 태안군 안면읍,총연장 L=9.75km,국도 77호선(부산 ~ 인천),,지평토건(주),"충청북도 청주시 상당구 대성로180번길 105, 2층 (수동)",2022-12-12,2029-11-04,
대전지방국토관리청,고남~창기(제2공구) 도로건설공사,도로,충청남도 태안군 안면읍 중장리~  충청남도 태안군 안면읍 창기리,총연장 L=12.75km,국도 77호선(부산 ~ 인천),,신화종합건설(주),전라남도 화순군 화순읍 충의로 115,2022-12-22,2029-11-04,
대전지방국토관리청,공주시 국도대체우회도로(봉정~방문)건설공사,도로,충청남도 공주시 우성면 방문리~충청남도 공주시 봉정동,총연장 L=3.8km,기타,,계룡건설산업(주),충청남도 공주시 우성면 옥성리 593번지,2021-02-08,2028-01-02,64783284000 
대전지방국토관리청,남일~금산 도로건설공사,도로,금산군 남일면 신천리 ~ 금산읍 하옥리,총연장 L=7.5km,국도 13호선(완도 ~ 금산),충청남도 금산군 남일면 신천리 972번지~충청남도 금산군 금산읍 하옥리 101-2번지,성원건설(주),충청남도 금산군 남일면 신천리 32,2022-08-03,2027-07-07,14168132000 
대전지방국토관리청,남일~보은(제1공구) 도로건설공사,도로,"충북 보은군, 청주시","L=11.4km, B=10.5m(2차로)",국도 25호선(진해 ~ 청주),충북 보은군 회인면 눌곡리~충북 청주시 상당구 남일면 두산리,남 광 건 설 주 식 회 사,충청북도 청주시 상당구 가덕면 인차리 305,2022-07-08,2029-05-31,63265045000 
대전지방국토관리청,남일고은~청주상당 도로건설공사,도로,충청북도 청주시 상당구 남일면 고은리~효촌리,총 연장 3.21km,국도 25호선(진해 ~ 청주),충청북도 청주시 상당구 남일면 고은리 654~청주시 상당구 남일면 효천리 180-1,대일종합건설(주),충북 청주시 상당구 남일면 효촌리 222-1,2021-02-17,2027-01-16,11754313800 
대전지방국토관리청,동면-진천(제1공구) 도로건설공사,도로,충청남도 천안시 / 충청북도 진천군 일원,국도 21호선(충남 천안 동면 송연~충북 진천 금암) : L=6.7km,국도 21호선(전주 ~ 이천),충청남도 천안시 동남구 동면 송연리 59-5~충청북도 진천군 진천읍 금암리 153-2,풍림산업주식회사,충청남도 천안시 동남구 동면 동산리 332-1,2023-04-25,2028-03-28,89835075000 
대전지방국토관리청,동면~진천(제2공구) 도로건설공사,도로,충청북도 진천군 진천읍 금암리~원덕리,총연장 L=5.3km,국도 21호선(전주 ~ 이천),충북 진천군 진천읍 금암리 166-5~충북 진천군 진천읍 원덕리77,계룡건설산업(주),충청북도 진천군 진천읍 사석리 78-1,2023-06-23,2028-05-26,91825000000 
대전지방국토관리청,아산 충무교 건설공사,도로,충청남도 아산시 권곡동 / 염치읍 석정리,"연장 L=0.96Km, B=30.25m (4차로 -&gt; 6차로), 교량 1개소 / 295.5m , 평면교차로 2개소",기타,,(주)도화엔지니어링,충청남도 아산시 염치읍 충무로 250,2023-12-20,2027-11-28,
대전지방국토관리청,영동~보은 도로건설공사,도로,"충청북도 영동군, 옥천군","L=20.15Km, B=10.5m~18.5m",국도 19호선(남해 ~ 원주),충북 영동군 용산면 상용리~충북 옥천군 청성면 능월리,주식회사  효    성,충청북도 옥천군 청산면 인정리 535,2016-08-30,2024-12-10,49898088000 
대전지방국토관리청,영동~용산1-2 도로건설공사,도로,충북 영동군 영동읍 설계리,총 연장 2.4km,국도 19호선(남해 ~ 원주),충청북도 영동군 대학로 310 유원(U1)대학교~충청북도 영동군 빙벽장길 13 박달휴계소,협 성 건 업 (주),충청북도 영동군 영동읍 오탄리 45,2021-02-01,2026-01-05,29318984000 
대전지방국토관리청,입장~진천 도로건설공사,도로,충청남도 천안시 서북구 입장면~충청북도 진천읍 백곡면,"교량 235m/1개소, 터널 1,438m/2개소, 교차로 5개소",국도 34호선(당진 ~ 영덕),충청남도 천안시 서북구 입장면 성진로 1127~충청북도 진천군 백곡면 백곡로 269-1,계룡건설산업(주),"충청북도 진천군 진천읍 금사로 386-12, 계룡건설 임시 현장사무실",2024-07-15,2031-06-08,77467865440 
대전지방국토관리청,입장~진천 도로건설공사 등 2개소 건설사업관리용역,도로,"입장-진천(천안시 입장면~진천군 백곡면), 직산-부성(천안시 신당동~직산읍)","총 연장 8.4km(직산-부성 2.1km, 입장-지천 6.3km)",국도 1호선(목포 ~ 신의주(판문점)),,계룡건설산업(주),"충청북도 진천군 진천읍 대촌1길 16, 101동 303호 (진천우림필유 아파트)",,,
대전지방국토관리청,천안시계~연기소정 도로건설공사,도로,세종특별시 소정면 대곡리~  충청남도 천안시 목천읍 소사리,총연장 L=2.54km,국도 1호선(목포 ~ 신의주(판문점)),세종특별자치시 소정면 대곡리 421~천안시 목천읍 소사리 229-4,주식회사 신양종합건설,충청남도 천안시 목천읍 소사리  121-2,2023-02-23,2027-02-01,12144229400 
대전지방국토관리청,청양-신풍 도로건설공사,도로,청양 정산면 서정리~공주 신풍면 동원리,"연장12.8km, 폭10.5~12.0km(2차로 시설개량), 교량6, 터널1, 교차로22",국도 39호선(부여 ~ 의정부),충남 청양군 정산면~공주시 신풍면,(주)선엔지니어링종합건축사사무소,충청남도 공주시 신풍면 차동로 1993,2018-09-10,2024-12-27,24273700000 
대전지방국토관리청,청주시 국도대체우회도로(북일-남일1) 건설공사,도로,청주시,L = 7.1km,기타,청주시 상당구 내수읍 국동리~상당구 용정동,두산건설(주),충청북도 청주시 상당구 용정동 162-1,2017-02-01,2024-12-25,106435000000 
대전지방국토관리청,충청권 국도터널 통합관리센터 구축,도로,충청도 전역 국도 터널 및 터널관리사무소,충청권 국도터널  통합관리망센터 구축,국도 1호선(목포 ~ 신의주(판문점)),,주식회사 동구건설,충청북도 진천군 문백면 태락리 144-7,,,
대전지방국토관리청,충청내륙 고속화도로(제2공구) 도로건설공사,도로,"음성군, 충주시",총 연장 13.3km,국도 36호선(대천 ~ 울진),충청북도 음성군 원남면 하당리 183-3~충청북도 충주시 주덕읍 신양리 104-3,현대엔지니어링(주),충청북도 음성군 충도로 629,2018-06-11,2025-05-04,116529690000 
대전지방국토관리청,충청내륙 고속화도로(제3공구) 도로건설공사,도로,충주시,총 연장 8.2km,국도 36호선(대천 ~ 울진),충청북도 충주시 주덕읍 신양리~충청북도 충주시 중앙탑면 창동리,(주)화성개발,충청북도 충주시 대소원면 만정리 660,2018-06-15,2025-05-08,101952316000 
대전지방국토관리청,충청내륙고속화(제1-2공구) 도로건설공사,도로,"충북 증평, 괴산",연장 12.6km,국도 36호선(대천 ~ 울진),충북 증평군 도안면 화성리~충북 음성군 원남면 하당리,동원건설산업 주식회사,충청북도 음성군 원남면 원중로 25,2017-05-22,2025-04-08,113832520000 
대전지방국토관리청,충청내륙고속화(제4공구) 도로건설공사,도로,"충주시, 제천시",총 연장 13.5km,국도 19호선(남해 ~ 원주),충청북도 충주시 동량면 대전리 1575-5~충청북도 제천시 봉양읍 장평리 792-6,원광건설 주식회사,충청북도 충주시 금가면 도촌리 231,2020-06-05,2026-05-04,28841918000 
대전지방국토관리청,현도일반산업단지 진입도로 건설공사,도로,충북 청주시 서원구 현도면 매봉리~죽전리 충북 청주시 서원구 현도면 양지리~매봉리,"총연장 2.31km(1구간 0.8km, 2구간 1.51km) 교량 2개소/52.0m 생태터널 1개소/60.0m",국도 17호선(여천 ~ 용인),"충청북도 청주시 서원구 현도면 청남로 12, 장수정~충청북도 청주시 서원구 현도면 청남로 457, 알뜰용문주유소",인덕건설,"세종특별자치시 부강면 시목부강로 215,  (노호리111)",2024-07-05,2027-07-04,24355312000 
익산지방국토관리청,곡성 석곡IC-겸면(1공구) 도로시설개량공사,도로,곡성군 석곡면 유정리 ~ 삼기면 금반리,"연 장:L=11.km, 2차로 시설개량), 교 량 : 10개소 / L=231.8m, 교차로 : 14개소",,전남 곡성군 석곡면 유정리~전남 곡성군 삼기면 금반리,(주)오렌지이앤씨,전라남도 곡성군 목사동면 공북새터길 7,2022-12-26,2028-11-23,40829008000 
익산지방국토관리청,곡성 석곡IC-겸면(2공구) 도로시설개량공사,도로,곡성군 삼기면 금반리 ~ 겸면 평장리,"연 장:L=12.1km, 2차로 시설개량), 교 량 : 11개소 / L=308.5m, 교차로 : 19개소",,전라남도 곡성군 삼기면 대명산길 29-1~전라남도 곡성군 겸면 곡순로 2140,(주)케이에스씨건설,전라남도 곡성군 겸면 가정리 844-1,2022-12-26,2028-11-23,58663000000 
익산지방국토관리청,국도1호선 전주 대흥교차로 개선 등 2개 공사,도로,전주시 덕진구 / 임실군 임실읍,전주 대흥교차로 교량확장 L=30m / 임실 운종교차로 교량 L=125m,국도 1호선(목포 ~ 신의주(판문점)),,주식회사 건우,전라북도 전주시 덕진구 용덕길 47-128 (용정동),2022-05-16,2025-04-29,8375700000 
익산지방국토관리청,국도27호선 임실 운종교차로 개선공사,도로,전라북도 임실군 운종교차로,"연장 L=1.2km / 교량 1개소, 125m",국도 27호선(고흥 ~ 군산),,한바로이앤씨 주식회사,전라북도 완주군 구이면 국사봉로 27,2022-06-09,2025-06-07,15779991298 
익산지방국토관리청,국도30호선 임실 이도지구 단구간 확장공사,도로,전북 임실군 임실읍 성가리~갈마리,"도로연장 및 폭원 L=2.57km, B=25m",국도 30호선(부안 ~ 대구),전라북도 임실군 임실읍 호국로 1584~전라북도 임실군 임실읍 갈마2길 6,주식회사 일창건설,전라북도 임실군 임실읍 호국로 1644-31,2022-09-14,2025-08-28,18267814000 
익산지방국토관리청,무주 무주-설천 도로확장공사,도로,전라북도 무주군 무주읍 오산리 ~ 무주군 설천면 소천리,도로확장공사,국도 30호선(부안 ~ 대구),전라북도 무주군 무주읍 오산리~전라북도 무주군 설천면 소천리,삼부토건(주),전라북도 무주군 설천면 기곡리 437-3,2021-05-24,2028-04-16,94046000000 
익산지방국토관리청,순창 인계-쌍치(1공구) 도로시설개량공사,도로,순창군 인계면 도룡리~ 구리면 운북리,"L=15.3km, B=11.5m",,,동신건설(주),전라북도 순창군 구림면 방화로 86,2022-12-28,2028-11-25,40991780505 
익산지방국토관리청,순창 인계-쌍치(2공구) 도로시설개량공사,도로,순창군 구림면 운북리 ~ 쌍치면 시산리,"L=8.4km, B=11.5m",,전라북도 순창군 구림면 운북리~전라북도 순창군 쌍치면 금평리,쌍 용 건 설 주 식 회 사,전북특별자치도 순창군 쌍치면 피치길 28,2023-02-28,2029-01-26,62905684000 
익산지방국토관리청,순천 벌교-주암(3-1공구)도로확장공사,도로,순천시 송광면 이읍리 ~ 신평리 일원,"4차로 확장, L=6.08km",국도 27호선(고흥 ~ 군산),전남 순천시 송광면 이읍리~전남 순천시 송광면 신평리,(주) 태 영 건 설,전라남도 순천시 송광면 이읍1길 16-1,2019-06-19,2027-06-16,121934000000 
익산지방국토관리청,순천 벌교-주암(3-2공구) 도로확장공사,도로,전라남도 순천시,도로확장 L=7.18km(B=20m),국도 18호선(진도 ~ 구례),전라남도 순천시 송광면 신평리~전라남도 순천시 주암면 요곡리,코오롱글로벌(주),전라남도 순천시 주암면 문길역들길 2,2019-06-18,2027-06-15,118403000000 
익산지방국토관리청,신안 압해-송공 도로시설개량공사,도로,전남 신안군 압해읍 월포리 ~ 신안군 압해읍 송공리,도로 6.06km,국도 2호선(목포 ~ 부산),전라남도 신안군 압해로 1569~전라남도 신안군 압해읍 동서리 147-2,현아종합건설(주),전라남도 신안군 압해읍 대천리 796-1,2020-06-15,2026-05-14,20696649000 
익산지방국토관리청,신안 압해-화원(1공구) 도로건설공사,도로,전라남도 해남군 화원면 매월리 ~ 신안군 압해면 장감리,실시설계 및 도로건설,국도 77호선(부산 ~ 인천),전라남도 해남군 화원면 매월리~전라남도 목포시 달동,롯데건설(주),전라남도 해남군 화원면 매월리 60-4,2021-04-30,2027-03-29,220032122000 
익산지방국토관리청,신안 압해-화원(2공구) 도로건설공사,도로,전라남도 해남군 화원면 매월리 ~ 신안군 압해면 장감리,실시설계 및 도로건설,국도 77호선(부산 ~ 인천),전남 목포시 달동~전남 신안군 압해읍 신장리,(주)대우건설,전라남도 신안군 압해읍 장감길 148,2021-04-30,2027-08-26,223916000000 
