발주청,공사명,공사구분,주요사업지,사업개요,노선명,공사위치,시공사,현장주소,시작일,준공일,도급액(원)
부산지방국토관리청,2024년 부산청 국도ITS 이설 및 정비공사,도로,영남권 일원,이설 및 정비,,,주식회사 안동정보시스템,"경상남도 창원시 의창구 읍성로 99, 2층 (소답동)",,,
부산지방국토관리청,부산청 경남권 시관리구간 국도ITS 자가망 구축 통신공사,도로,영남권 일원,ITS 시설물 설치,기타,,삼진무선,"경상남도 창원시 성산구 삼정자로 60, 성주동 135-8번지 (성주동)",,,
부산지방국토관리청,2024년도 부산청 당월삼거리~온산교차로 등 22개 구간 국도ITS 구축공사(2권역),도로,영남권 일원,ITS 시설물 설치,기타,,(주)온누리텔레콤,울산광역시 울주군 온산읍 당월리 471-13,,,
부산지방국토관리청,2024년도 부산청 내동교차로~문산교차로 등 16개 구간 국도ITS 구축공사(2권역),도로,영남권 일원,ITS 시설물 설치,기타,,미래정보시스템 주식회사,"경상남도 김해시 인제로39번길 12-20, 201호 (어방동)",,,
부산지방국토관리청,2024년도 부산청 어모교~대륭리 등 20개 구간 국도ITS 구축공사(1권역),도로,영남권 일원,ITS 시설물 설치,기타,,승아전기(주),"충청남도 서산시 서령로 14, 102호 (동문동)",,,
부산지방국토관리청,경산시 국도대체우회도로(남산-하양) 건설공사,도로,"경북 경산시 압량면 당리리, 하양읍 부호리","L=9.9km, B=19.5~21.5m(4차로), 평면교차로 11개소",국도 25호선(진해 ~ 청주),,주식회사 흥화,경상북도 경산시 자인면  동부리 240-1(설총로 854),2022-02-07,2029-02-04,81245000000 
부산지방국토관리청,경주 양남-감포 국도건설공사,도로,경상북도 경주시 양남면 하서리-나아리,"L=3.5km, B=11.50m(2차로), 평면교차로 2개소",국도 31호선(부산 ~ 신고산),,세원건설(주),"경상북도 경주시 양남면 동해안로 367, 도로건너 하서리 461-2",,,
부산지방국토관리청,경주시 국도대체우회도로(상구-효현) 건설공사,도로,경북 경주시 현곡면 상구리~경주시 효현동,"연장L=6.50km, 폭원B=20.0m, 교량8개소/950m, 터널1개소/726m, 교차로3개소(입체교차로)",국도 7호선(부산 ~ 온성 (간성)),경주시 현곡면 상구리~경주시 효현동,두산건설(주),경상북도 경주시 충현로 111,2016-10-31,2024-12-31,89407000000 
부산지방국토관리청,고성-통영 국도건설공사,도로,경남 통영시 광도면 노산리~고성군 동해면 장좌리,"L=18.5km, B=10~17.50m(2~4차로), 평면교차로 24개소",국도 77호선(부산 ~ 인천),경남 통영시 광도면 노산리~고성군 동해면 장좌리,(주)대아건설,경상남도 고성군 거류면 당동리 551-8,2017-06-26,2026-05-19,116226000000 
부산지방국토관리청,구미국가산업단지 제5단지진입도로건설공사(1공구),도로,구미시 해평면,구미시 해평면,기타,경상북도 구미시 고아읍 송림리 453-5~경상북도 구미시 해평면 문량리 산 30-4,롯데건설(주),경상북도 구미시 해평면 괴곡3길 50,2018-05-25,2025-04-17,128338480300 
부산지방국토관리청,국도20호선 청도 원정 모강(범곡~대남) 단구간확장사업(1구간),도로,경북 청도군 화양읍 범곡리,"1구간: 단순확장(4차로) L=1.2.km, B=25.5m, 2구간: 편도2차로~왕복4차로 L=0.9km, B=8.5~20.0m",국도 20호선(산청 ~ 포항),경북 청도군 화양읍 범곡리 범곡사거리~청도군  화양읍 범곡리 대남교차로,대영에코건설(주),경상북도 청도군 청도읍 고수리 8,2021-04-29,2025-04-07,4400759000 
부산지방국토관리청,국도20호선 청도 원정 모강(대남~모강) 단구간확장사업(2구간),도로,경북 청도군 화양읍 범곡리,"1구간: 단순확장(4차로) L=1.2.km, B=25.5m, 2구간: 편도2차로~왕복4차로 L=0.9km, B=8.5~20.0m",국도 20호선(산청 ~ 포항),경상북도 청도군 화양읍 범곡리 대남교차로~경상북도 청도군 청도읍 원정리 모강교차로,도아건설 (주),경상북도 청도군 청도읍 원정리 542-5,2022-01-10,2025-12-19,14934130000 
부산지방국토관리청,국도31호선 장안-서생 이설공사,도로,부산 기장군 장안읍 길천리-울산 울주군 서생면 신암리,L=5.5Km(양방향 4차로),,부산광역시 기장군 장안읍 길천리 300~울산광역시 울주군 서생면 신암리 239-29,대신토건주식회사,울산광역시 울주군 서생면 화산마을1길 29-2,2019-01-21,2024-12-19,41636000000 
부산지방국토관리청,국도3호선 김천-교리1 등 6개 국도건설공사 사후평가용역,도로,"김천시 지례면, 구성면",6개 구간 L=57.4Km,,,주식회사 천마기술단,경기도 성남시 분당구 구미동 153,,,
부산지방국토관리청,2023년도 국도ITS 시설물 연간 유지보수 공사(경남권역),도로,영남권 경남권역 일원,ITS 시설물 유지보수공사,,,진우전자,경상남도 진주시 모덕로 83 (상대동),,,
부산지방국토관리청,김해시관내 국도대체우회도로(무계-삼계)건설공사,도로,경상남도 김해시 장유면 응달리 - 김해시 삼계동,"연장 13.76km, 4차로(폭 20.0m)",국도 58호선,진해~청도,디엘이앤씨(주),김해시 주촌면 서부로1701번길 80,2008-03-24,2025-12-31,310425000000 
부산지방국토관리청,남해 서면-여수 신덕 국도건설공사,도로,남해 서면-여수 신덕,남해 서면-여수 신덕 국도건설공사,국도 77호선(부산 ~ 인천),경상남도 남해군 서면 스포츠로 636~전라남도 여수시 신덕2길 33 (신덕동),디엘이앤씨(주),"경상남도 남해군 서면 스포츠로 524, 남해 서면-여수 신덕 현장사무실",2023-07-10,2031-10-25,671740000000 
부산지방국토관리청,밀양나노 국가산단 진입도로 건설공사,도로,밀양시,"도로 2.66km, 교량 3개소, 터널 1개소 교차로 2개소 등",기타,경남 밀양시 무안면 마흘리~부북면 제대리,주식회사 동현종합건설,경상남도 밀양시 부북면 추원재길 33,2020-12-23,2026-04-26,25746490000 
부산지방국토관리청,사천항공 산업대교 건설공사,도로,사천시 곤양면 검정리 ~ 사천시 사남면 방지리,L=1.32㎞(교량1개소 770m),기타,사천시 곤양면 검정리 산 1-1~사천시 사남면 방지리,계룡건설산업(주),경상남도 사천시 곤양면 검정리 575-1 계룡건설 현장사무실,2023-03-20,2028-02-21,34549363000 
부산지방국토관리청,산청신안-생비량 국도건설공사,도로,경남 산청군 단성면 강누리~생비량면 도리,"L=9.2km, B=19.50m(4차로)",,경상남도 산청군 단성면 강누리 470-5~경상남도 산청군 생비량면 도리 646-3,금호건설(주),경상남도 산청군 신안면 장죽리 324-2번지,2020-06-30,2027-05-24,115202635000 
부산지방국토관리청,산청우회 국도건설공사,도로,산청군,L=0.9km 2차로 신설,국도 59호선(광양 ~ 하동),경남 산청군 금서면 매촌리~경남 산청군 산청읍 지리,(주)나산건설,경상남도 산청군 산청읍 차탄리 181-2,2022-02-07,2025-01-21,9077818780 
부산지방국토관리청,안동-영덕 국도건설공사,도로,경북 안동시 송천동~영덕군 지품면 신양리,L=21.9km 시설개량,국도 34호선(당진 ~ 영덕),경북 안동시 송천동~경북 영덕군 지품면 신양리,삼환기업(주),경상북도 청송군 진보면 신촌갈평길 151,2017-01-20,2025-06-18,136804000000 
부산지방국토관리청,안동시관내 국도대체우회도로(용상-교리2)건설공사,도로,안동시,L=7.2,국도 34호선(당진 ~ 영덕),경상북도 안동시 안막동 1047~경상북도 안동시 용상동 1193,한신공영(주),경상북도 안동시 남선면 뱁실길 63-83,2018-01-10,2024-12-03,97608261000 
부산지방국토관리청,예천-지보 국도건설공사,도로,경북 예천군 예천읍 상동리 ~ 호명면 본포리,"연장 9.3km, 2차로 개량(폭 11.5m), V(설계속도) = 60km/hr, 교량 3개소/145m, 교차로 10개소(평면6, 회전4)",국도 28호선(영주 ~ 포항),,성안건설주식회사,경상북도 예천군 호명읍 원곡길 326,2021-08-09,2026-08-07,19832008000 
부산지방국토관리청,와룡-법전 국도건설공사,도로,안동시 도산면~ 봉화군 명호면,5.1km 2차로,국도 35호선(부산 ~ 강릉),경상북도 안동시 도산면 가송리~경상북도 봉화군 명호면 삼동리,(주)동양건설산업,경상북도 봉화군 명호면 보라로 5,2020-08-10,2027-07-04,92025000000 
부산지방국토관리청,울산농소-경주외동 국도건설공사,도로,울산광역시 북구 농소동 ~ 경북 경주시 외동읍,"L = 5.9km, B = 20.0m(4차로), 교량 8개소, 터널 1개소",국도 7호선(부산 ~ 온성 (간성)),"울산광역시 북구 관문길 159, 산 125 - 8(천곡동)~경상북도 경주시 외동읍 구어들밑길 112-33",한일건설 주식회사,경상북도 경주시 외동읍 어령길 145,2021-04-12,2028-04-09,95998820084 
부산지방국토관리청,의령-합천 국도건설공사,도로,경남 의령군 정곡면 중교리~합천군 청덕면 앙진리,"L=14.82km, 교량: 30.5m/2개소, 교차로: 평면23개소",국도 20호선(산청 ~ 포항),경상남도 의령군 법정로 899-1~경상남도 합천군 청덕면 앙진리 544-1,동대건설 주식회사,경상남도 의령군 부림면 한지38길 9-1,2018-11-02,2024-12-31,24983000000 
부산지방국토관리청,창원 양곡 양곡교차로 교차로개선사업,도로,창원시 성산구,교량2개소,국도 2호선(목포 ~ 부산),,영진건설㈜,"전라남도 화순군 화순읍 진각로 144, 5층 404호",,,
부산지방국토관리청,청량-옥동 국도건설공사(WBS),도로,울산 울주군 청량읍 문죽리~남구 옥동,"L=1.6km, B=20.0m(4차로), 교량 3개소, 교차로 2개소",,울산광역시 울주군 청량읍 문죽리~울산광역시 남구 옥동,(주) 제일종합건설,전라북도 익산시 익산대로 124 제일건설,2018-11-19,2023-10-23,
부산지방국토관리청,포항-안동1-1(1공구) 국도건설공사,도로,포항시,포항-안동1-1(1공구),국도 31호선(부산 ~ 신고산),경상북도 포항시 북구 기계면 인비리 826-1~경상북도 포항시 북구 죽장면 일광리 산 114-2,(주)영무토건,경상북도 포항시 북구 기계면 구지리 13,2020-12-30,2027-11-23,101968818000 
부산지방국토관리청,포항-안동1-1(2공구) 국도건설공사,도로,"포항, 청송",포항-안동1-1(2공구),국도 31호선(부산 ~ 신고산),경상북도 포항시 북구 죽장면 일광리~경상북도 청송군 현동면 눌인리,(주)케이알산업,경상북도 포항시 북구 죽장면 죽장로 201,2021-02-05,2027-12-30,84171397000 
부산지방국토관리청,포항-안동2(1공구) 국도건설공사,도로,경북 청송군 현서면 두현리 ∼ 경북 안동시 길안면 송사리,"L=9.5km, B=19.5m",국도 35호선(부산 ~ 강릉),경상북도 청송군 현서면 두현리~경상북도 안동시 길안면 송사리,현대아산 주식회사,경상북도 안동시 길안면 송사리 123,2019-01-29,2025-12-22,72818000000 
부산지방국토관리청,포항-안동2(2공구) 국도건설공사,도로,경북 안동시 길안면 송사리 ∼ 경북 안동시 길안면 천지리,"L=10.1km, B=19.5m",국도 35호선(부산 ~ 강릉),경북 안동시 길안면 송사리 산2임~경북 안동시 길안면 천지리 798전,(주) 태 영 건 설,경상북도 안동시 길안면 만음리 711,2019-02-11,2026-01-04,66002441000 
부산지방국토관리청,한기리-교리 국도건설공사,도로,김천시 대덕면 화전리~지례면 관덕리,"연장L=10.05km, 폭원B=14.5m(2+1차로), 교량 4개소 105m, 터널 1개소 291m, 교차로 12개소",국도 3호선(남해 ~ 초산 (철원)),경북 김천시 대덕면 화전리~경북 김천시 지례면 관덕리,주식회사 해광건설,울산광역시 북구 진장유통1로 33 (주)해성디엔씨,2016-09-21,2024-12-31,30774786000 
부산지방국토관리청,함안 군북-가야 국도건설공사,도로,경남 함안군 군북면 사도리,"L=8.30km, B=11.50m(2차로), 평면교차로 15개소",,경상남도 함안군 군북면 함마대로 454~경상남도 함안군 가야읍 함마대로 1445,죽암건설주식회사,전라남도 순천시 연향동 1437-2,2021-01-18,2026-01-16,33697774000 
