발주청,대상사업,공사개요,총공사비(억원),공사착공년도,공사준공년도,사후평가 계약시작일,사후평가 계약종료일
여수지방해양수산청,광양항 서측 배후단지(2공구) 조성사업,"부지조성 86만 ㎡, 지반개량 78만 ㎡, 도로공 6,200m, 상수공 7,011m, 우수공 8,156m, 오수공 8,925m, 교량공 STEEL BOX Girder 1개소, 조경공 1식, 전기통신공, 부대공 1식",1412,2008,2012,2016-05-09,2016-12-25
울산지방해양수산청,울산신항 북방파제 (1공구) 축조공사,북방파제(1공구) : 550m,1326,2008,2011,2016-05-09,2016-12-25
대산지방해양수산청,대산항 개발(1단계 2차) 사업 축조공사,"외곽시설 : 북방파제 210m, 마무리호안 378m 접안시설 : 잡화부두(2만톤급 1선석 210m, 3만톤급 1선석 240m), 컨테이너부두(2,000 TEU 1선석, 250m) 준설 및 매립 1식, 부대공 1식",981,2006,2011,2016-05-09,2016-12-25
부산지방해양수산청 부산항건설사무소,부산항 신항 남컨 준설토 투기장 가호안(2공구) 축조공사,"호안 : 1,949m",974,2005,2011,2017-04-25,2017-12-16
부산지방해양수산청 부산항건설사무소,부산항 신항 서컨 준설토 투기장 호안 축조공사,"호안 : 2,971m",770,2009,2012,2017-04-25,2017-12-16
여수지방해양수산청,광양(여천)항 일반부두 축조공사,"안벽 : 420m (7만톤급 1선석, 1만톤급 1선석) 호안 : 200m 준설 및 매립 1식 연약지반처리공, 급수공 부대공 1식",481,2004,2012,2017-04-25,2017-12-16
울산지방해양수산청,울산신항 북방파제(2공구) 축조공사,북방파제(2공구) : 650m,1319,2009,2012,2017-04-25,2017-12-16
부산지방해양수산청 부산항건설사무소,부산항 신항 웅동지구 항만배후단지(1공구) 조성공사,"부지조성 : 569,027㎡ 도로 : 2,600m",1199,2009,2014,2018-06-27,2018-12-26
부산지방해양수산청 부산항건설사무소,부산항 신항 웅동지구 항만배후단지(2공구) 조성공사,"부지조성 : 587,027㎡ 도로 : 2,800m",1066,2009,2013,2018-06-27,2018-12-26
부산지방해양수산청 부산항건설사무소,부산항 신항 방파제 보강공사,"방파제 보강 : 1,270m",674,2009,2013,2018-06-27,2018-12-26
부산지방해양수산청 부산항건설사무소,부산항 신항 송도 준설토투기장 호안 축조공사,"투기장 호안 : 2,650m",1130,2012,2015,2018-06-27,2018-12-26
부산지방해양수산청 부산항건설사무소,부산항 신항 주간선도로(안골대교) 건설공사,"도로 : 2,353m",1149,2010,2014,2018-06-27,2018-12-26
포항지방해양수산청,포항영일만항 남방파제(1단계 1공구)축조공사,남방파제 800m,1146,2013,2015,2018-06-27,2018-12-26
포항지방해양수산청,포항영일만항 남방파제(1단계 2공구)축조공사,남방파제 500m,549,2011,2013,2018-06-27,2018-12-26
부산지방해양수산청 부산항건설사무소,부산북항 재개발사업(1-1단계) 외곽시설 축조공사,"북방파제 150m, 외곽호안 192m 등",568,2009,2015,2019-05-02,2019-12-01
부산지방해양수산청 부산항건설사무소,부산북항 재개발(1-2단계) 국제여객부두 등 축조공사,국제여객부두 718m 크루즈부두 360m 등,524,2012,2014,2019-05-02,2019-12-01
울산지방해양수산청,울산신항 북방파제(3공구) 축조공사,"북방파제 1,000m 부대시설 1식",1000,2011,2014,2019-05-02,2019-12-01
군산지방해양수산청,새만금 신항(1단계) 방파제(1공구) 축조공사,"방파제 1,500m",1328,2011,2016,2020-04-09,2020-11-08
군산지방해양수산청,새만금 신항(1단계) 방파제(2공구) 축조공사,"방파제 1,600m 비안도 어선보호시설 300m",1287,2011,2015,2020-04-09,2020-11-08
