계약명,계약차수,공정년월,월공정계획율(퍼센트),월공정실적율(퍼센트),보고번호,계약체결일자,계약금액(원),착공일자,준공일자
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-06-01,73.09,73.09,3000998,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-05-01,64.06,64.06,3000997,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-04-01,54.6,54.6,3000996,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-03-01,45.52,45.52,3000995,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-02-01,28.07,28.07,3000994,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-01-01,19.38,19.38,3000993,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2007-12-01,10.08,10.08,3000992,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-10-01,69.97,90.74,3000991,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-09-01,66.88,81.19,3000990,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-08-01,59.41,68.32,3000989,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-07-01,56.41,56.16,3000988,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-06-01,48.11,43.99,3000987,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-05-01,44.35,33.76,3000986,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-04-01,42.54,25.85,3000985,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-03-01,38.81,20.17,3000984,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-02-01,25.73,13.18,3000983,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-01-01,12.51,6.59,3000982,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-12-01,100,100,3000981,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-11-01,94.27,31.72,3000980,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-10-01,88.24,20.45,3000979,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-09-01,51.51,11.9,3000978,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-08-01,37.45,6,3000977,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-11-01,100,100,3000976,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-10-01,95.13,78.22,3000975,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-09-01,79.16,56.51,3000974,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-08-01,53.8,57.85,3000973,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-07-01,35.93,38.64,3000972,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-06-01,19.39,14.78,3000971,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-05-01,8.2,6.96,3000970,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-04-01,2.45,2.37,3000969,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구),1,2008-02-01,77.28,76.15,3000968,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-03-01,96.92,89.88,3000967,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-04-01,100,100,3000966,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-02-01,77.28,76.15,3000965,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-01-01,14.46,13.6,3000964,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 관리부두 실시설계용역,1,2007-10-01,33.9,33.9,3000963,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-03-01,88.5,90.5,3000962,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-04-01,95.6,97,3000961,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-07-01,23.7,28,3000960,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-11-01,41,43.3,3000959,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-12-01,60.5,54.8,3000958,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-01-01,66.1,66.1,3000957,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-02-01,80.3,80.3,3000956,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-06-01,15.2,18,3000955,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-05-01,8,8,3000954,2007-05-07,1259808000,2007-05-08,2008-03-07
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-08-01,100,100,3000953,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-06-01,0,0,3000952,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-07-01,3,3,3000951,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-05-01,5,5,3000950,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-04-01,5,5,3000949,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-03-01,5,5,3000948,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-02-01,5,5,3000947,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-01-01,3,3,3000946,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-12-01,7,7,3000945,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-11-01,5,5,3000944,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-10-01,70,70,3000943,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-09-01,5,5,3000942,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-08-01,5,5,3000941,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-07-01,5,5,3000940,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-06-01,10,10,3000939,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-05-01,30,30,3000938,2006-12-22,649950000,2006-04-05,2007-09-03
"인천남외항 건설사업 환경,교통영향평가용역",1,2006-04-01,10,10,3000937,2006-12-22,649950000,2006-04-05,2007-09-03
인천북항 배후시설 공사 4차,4,2009-03-01,35.65,39.2,3000459,2009-04-30,1340600000,2009-02-09,2009-04-22
울도항 동방파제 축조(4차)공사,4,2006-03-01,6.76,5,3000888,2006-10-18,1505671310,2006-03-16,2006-10-20
울도항 동방파제 축조(4차)공사,4,2006-05-01,21.01,20,3000887,2006-10-18,1505671310,2006-03-16,2006-10-20
울도항 동방파제 축조(4차)공사,4,2006-06-01,51.72,35,3000886,2006-10-18,1505671310,2006-03-16,2006-10-20
울도항 동방파제 축조(4차)공사,4,2006-04-01,12.3,15,3000885,2006-10-18,1505671310,2006-03-16,2006-10-20
울도항 동방파제 축조(4차)공사,4,2006-09-01,100,65,3000884,2006-10-18,1505671310,2006-03-16,2006-10-20
울도항 동방파제 축조(4차)공사,4,2006-07-01,85.68,45,3000883,2006-10-18,1505671310,2006-03-16,2006-10-20
울도항 동방파제 축조(4차)공사,4,2006-08-01,100,55,3000882,2006-10-18,1505671310,2006-03-16,2006-10-20
어유정항 정비공사 사후환경영향조사용역(1차),1,2007-10-01,32.5,32.5,3000870,2007-07-20,55000000,2007-07-20,2008-07-19
어유정항 정비공사 사후환경영향조사용역(1차),1,2007-09-01,28.8,28.8,3000869,2007-07-20,55000000,2007-07-20,2008-07-19
어유정항 정비공사 사후환경영향조사용역(1차),1,2007-08-01,23.2,23.2,3000868,2007-07-20,55000000,2007-07-20,2008-07-19
어유정항 정비공사 사후환경영향조사용역(1차),1,2007-11-01,50,50,3000867,2007-07-20,55000000,2007-07-20,2008-07-19
경인항 항로준설공사(1차),1,2011-01-01,15,17.6,3000807,2010-12-03,4228000000,2010-12-03,2011-04-04
경인항 항로준설공사(1차),1,2011-02-01,17.4,20.3,3000806,2010-12-03,4228000000,2010-12-03,2011-04-04
경인항 항로준설공사(1차),1,2011-03-01,78,83,3000805,2010-12-03,4228000000,2010-12-03,2011-04-04
경인항 항로준설공사(1차),1,2010-12-01,8.3,8.3,3000804,2010-12-03,4228000000,2010-12-03,2011-04-04
경인항 관리부두 기본 및 실시설계용역,1,2011-07-01,98.9,98.9,3000803,2010-12-22,165832000,2010-12-22,2011-05-20
경인항 관리부두 기본 및 실시설계용역,1,2011-06-01,97.8,97.8,3000802,2010-12-22,165832000,2010-12-22,2011-05-20
경인항 관리부두 기본 및 실시설계용역,1,2011-05-01,96.7,96.7,3000801,2010-12-22,165832000,2010-12-22,2011-05-20
경인항 관리부두 기본 및 실시설계용역,1,2011-01-01,26.5,26.5,3000800,2010-12-22,165832000,2010-12-22,2011-05-20
경인항 관리부두 기본 및 실시설계용역,1,2010-12-01,3,3,3000799,2010-12-22,165832000,2010-12-22,2011-05-20
경인항 관리부두 기본 및 실시설계용역,1,2011-04-01,95.5,95.5,3000798,2010-12-22,165832000,2010-12-22,2011-05-20
경인항 관리부두 기본 및 실시설계용역,1,2011-03-01,81.5,81.5,3000797,2010-12-22,165832000,2010-12-22,2011-05-20
경인항 관리부두 기본 및 실시설계용역,1,2011-02-01,61.5,61.5,3000796,2010-12-22,165832000,2010-12-22,2011-05-20
인천항 해양수리현상 조사용역,1,2012-01-01,94.2,94.2,3000795,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-12-01,83.1,83.1,3000794,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-10-01,67.4,67.4,3000793,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-11-01,71.2,71.2,3000792,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-08-01,56,56,3000791,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-07-01,39.3,39.3,3000790,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-06-01,22.8,22.8,3000789,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-05-01,16,16,3000788,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-04-01,8.1,8.1,3000787,2011-03-02,421925000,2011-03-07,2012-03-05
인천항 해양수리현상 조사용역,1,2011-03-01,0.9,0.9,3000786,2011-03-02,421925000,2011-03-07,2012-03-05
인천북항 배후시설 공사 4차,4,2009-02-01,18.35,20.2,3000458,2009-04-30,1340600000,2009-02-09,2009-04-22
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-10-01,45.93,45.93,3000777,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-11-01,89.8,89.8,3000776,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-09-01,69.47,69.47,3000775,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-08-01,59.28,59.28,3000774,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-06-01,38.94,38.94,3000773,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-05-01,28.75,28.75,3000772,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-04-01,18.58,18.58,3000771,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-03-01,8.42,8.42,3000770,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 배후단지 조성공사 전면책임감리용역(1차),1,2011-07-01,49.11,49.11,3000769,2011-03-07,250000000,2011-03-07,2011-12-30
인천북항 영종도준설토투기장 증고 기본 및 실시설계 용역,1,2009-11-01,15.54,15.54,3000749,2009-07-29,731087000,2009-07-30,2009-12-28
인천북항 영종도준설토투기장 증고 기본 및 실시설계 용역,1,2009-10-01,27.44,27.44,3000748,2009-07-29,731087000,2009-07-30,2009-12-28
인천북항 영종도준설토투기장 증고 기본 및 실시설계 용역,1,2009-09-01,41.24,41.24,3000747,2009-07-29,731087000,2009-07-30,2009-12-28
인천북항 영종도준설토투기장 증고 기본 및 실시설계 용역,1,2009-08-01,8,8,3000746,2009-07-29,731087000,2009-07-30,2009-12-28
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2011-07-01,100,100,3000728,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2011-06-01,97.07,97.07,3000727,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2011-05-01,90.1,90.1,3000726,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2011-04-01,82.91,82.91,3000725,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2011-03-01,75.96,75.96,3000724,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2011-02-01,68.77,68.77,3000723,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2011-01-01,62.28,62.28,3000722,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2010-12-01,55.04,55.04,3000721,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2010-11-01,47.93,47.93,3000720,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2010-10-01,40.91,40.91,3000719,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2010-09-01,33.79,33.79,3000718,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2010-08-01,26.81,26.81,3000717,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2010-07-01,19.62,19.62,3000716,2010-05-18,990000000,2010-05-18,2011-07-13
인천신항 배후단지 호안 축조공사 전면책임감리용역 1차,1,2010-06-01,12.46,12.46,3000715,2010-05-18,990000000,2010-05-18,2011-07-13
인천북항 배후시설 공사 3차,3,2008-12-01,95.86,95.2,3000457,2008-12-04,12081780000,2008-04-25,2009-01-24
인천신항 배후단지 호안 축조공사 1차,1,2010-12-01,100,100,3000691,2010-05-06,18105000000,2010-05-10,2010-12-28
인천신항 배후단지 호안 축조공사 1차,1,2010-11-01,55.5,51.26,3000690,2010-05-06,18105000000,2010-05-10,2010-12-28
인천신항 배후단지 호안 축조공사 1차,1,2010-10-01,39.25,36.36,3000689,2010-05-06,18105000000,2010-05-10,2010-12-28
인천신항 배후단지 호안 축조공사 1차,1,2010-09-01,23.99,22.45,3000688,2010-05-06,18105000000,2010-05-10,2010-12-28
인천신항 배후단지 호안 축조공사 1차,1,2010-08-01,15.29,11.75,3000687,2010-05-06,18105000000,2010-05-10,2010-12-28
인천신항 배후단지 호안 축조공사 1차,1,2010-07-01,6.15,4.4,3000686,2010-05-06,18105000000,2010-05-10,2010-12-28
인천신항 배후단지 호안 축조공사 1차,1,2010-06-01,0.25,0.1,3000685,2010-05-06,18105000000,2010-05-10,2010-12-28
인천신항 배후단지 호안축조 기본 및 실시설계 경제성검토 용역,1,2009-11-01,85,85,3000684,2009-07-31,88219000,2009-08-03,2010-02-02
인천신항 배후단지 호안축조 기본 및 실시설계 경제성검토 용역,1,2009-10-01,70,70,3000683,2009-07-31,88219000,2009-08-03,2010-02-02
인천신항 배후단지 호안축조 기본 및 실시설계 경제성검토 용역,1,2009-09-01,40,40,3000682,2009-07-31,88219000,2009-08-03,2010-02-02
인천신항 배후단지 호안축조 기본 및 실시설계 경제성검토 용역,1,2009-08-01,20,20,3000681,2009-07-31,88219000,2009-08-03,2010-02-02
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-12-01,100,100,3000668,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-11-01,87.05,87.05,3000667,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-10-01,79.12,79.12,3000666,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-09-01,70.92,70.92,3000665,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-08-01,62.91,62.91,3000664,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-07-01,54.8,54.8,3000663,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-06-01,46.6,46.6,3000662,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-05-01,38.68,38.68,3000661,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-04-01,30.48,30.48,3000660,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-03-01,22.55,22.55,3000659,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-02-01,14.26,14.26,3000658,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 2차,2,2010-01-01,0,0,3000657,2010-01-15,1073000000,2010-01-18,2011-01-10
인천신항 진입도로 및 호안축조공사(2공구) 전면책임감리용역 1차,1,2009-12-01,100,100,3000656,2009-12-01,69000000,2009-12-01,2009-12-31
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-12-01,100,100,3000644,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-11-01,86.9,89.6,3000643,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-10-01,79.99,76.8,3000642,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-09-01,72.86,63.1,3000641,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-08-01,61.8,50.7,3000640,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-07-01,51.14,39.1,3000639,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-06-01,40.68,25.9,3000638,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-03-01,5.52,0.98,3000637,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-02-01,2.96,0,3000636,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-01-01,0,0,3000635,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-05-01,32.07,12.79,3000634,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 2차,2,2010-04-01,13.48,5.06,3000633,2010-01-19,63832000000,2010-01-19,2011-04-13
인천신항 진입도로 및 호안축조공사(2공구) 1차,1,2009-12-01,100,100,3000632,2009-12-22,6545000000,2009-11-25,2009-12-30
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2011-05-01,100,100,3000611,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2011-04-01,97.51,97.51,3000610,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2011-03-01,91.22,91.22,3000609,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2011-02-01,84.86,84.86,3000608,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2011-01-01,78.57,78.57,3000607,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-12-01,72.26,72.26,3000606,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-11-01,65.93,65.93,3000605,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-10-01,59.61,59.61,3000604,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-09-01,53.32,53.32,3000603,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-08-01,46.99,46.99,3000602,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-07-01,40.68,40.68,3000601,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-06-01,34.39,34.39,3000600,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-05-01,28.08,28.08,3000599,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-04-01,21.74,21.74,3000598,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-03-01,15.45,15.45,3000597,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-02-01,9.12,9.12,3000596,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역 2차,2,2010-01-01,2.81,2.81,3000595,2010-01-14,565000000,2010-01-18,2011-05-06
인천신항 관리부두 축조공사 전면책임감리용역(1차),1,2009-12-01,100,100,3000594,2009-05-28,267000000,2009-06-01,2009-10-26
인천신항 관리부두 축조공사 전면책임감리용역(1차),1,2009-10-01,85.14,85.14,3000593,2009-05-28,267000000,2009-06-01,2009-10-26
인천신항 관리부두 축조공사 전면책임감리용역(1차),1,2009-09-01,82.39,82.39,3000592,2009-05-28,267000000,2009-06-01,2009-10-26
인천신항 관리부두 축조공사 전면책임감리용역(1차),1,2009-11-01,88.39,88.39,3000591,2009-05-28,267000000,2009-06-01,2009-10-26
인천신항 관리부두 축조공사 전면책임감리용역(1차),1,2009-08-01,61.8,61.8,3000590,2009-05-28,267000000,2009-06-01,2009-10-26
인천신항 관리부두 축조공사 전면책임감리용역(1차),1,2009-06-01,20.58,20.58,3000589,2009-05-28,267000000,2009-06-01,2009-10-26
인천신항 관리부두 축조공사 전면책임감리용역(1차),1,2009-07-01,41.17,41.17,3000588,2009-05-28,267000000,2009-06-01,2009-10-26
인천신항 관리부두 축조공사 2차,2,2011-03-01,100,100,3000568,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2011-02-01,96.46,96.7,3000567,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2011-01-01,96.38,94.86,3000566,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-12-01,95.51,94.16,3000565,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-11-01,87.75,94.78,3000564,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-10-01,79.38,87.28,3000563,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-09-01,72.23,80.39,3000562,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-08-01,67.92,73.39,3000561,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-07-01,64.08,67.79,3000560,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-06-01,60.83,55.53,3000559,2010-02-27,7500000000,2010-01-20,2011-01-19
인천신항 관리부두 축조공사 2차,2,2010-05-01,29.77,36.19,3000558,2010-02-27,7500000000,2010-01-20,2011-01-19
